train_number,train_name,section_id,departure_time,arrival_time,frequency,train_type,days_of_run
12276,Ratnagiri - Madgaon Rajdhani Express,RN-MAO,08:15,11:40,Daily,Passenger,All Days
12277,Ratnagiri - Madgaon Rajdhani Express,RN-MAO,07:15,10:10,Daily,Passenger,All Days
12278,Ratnagiri - Madgaon Container Freight,RN-MAO,14:00,16:10,Daily,Freight,All Days
12279,Ratnagiri - Madgaon Shatabdi Express,RN-MAO,07:15,10:55,Daily,Passenger,All Days
12280,Ratnagiri - Madgaon Shatabdi Express,RN-MAO,17:15,20:25,Daily,Passenger,All Days
12281,Madgaon - Karwar Shatabdi Express,MAO-KAWR,07:15,09:55,Daily,Passenger,All Days
12282,Madgaon - Karwar Superfast Express,MAO-KAWR,17:30,20:25,Daily,Passenger,All Days
12283,Madgaon - Karwar Container Freight,MAO-KAWR,23:30,01:55,Daily,Freight,All Days
12284,Madgaon - Karwar Rajdhani Express,MAO-KAWR,06:30,07:25,Daily,Passenger,All Days
12285,Dum - Dakshineswar POL Tanker Freight,DUM-DAK,13:30,15:25,Daily,Freight,All Days
12286,Dum - Dakshineswar POL Tanker Freight,DUM-DAK,12:45,14:55,Daily,Freight,All Days
12287,Dum - Dakshineswar Shatabdi Express,DUM-DAK,16:45,19:10,Daily,Passenger,All Days
12288,Dum - Dakshineswar Rajdhani Express,DUM-DAK,07:30,08:25,Daily,Passenger,All Days
12289,Dum - Dakshineswar Shatabdi Express,DUM-DAK,07:00,08:10,Daily,Passenger,All Days
12290,Dum - Dakshineswar Container Freight,DUM-DAK,23:45,02:25,Daily,Freight,All Days
12291,Howrah - Esplanade Container Freight,HOW-ESPL,11:45,14:25,Daily,Freight,All Days
12292,Howrah - Esplanade Shatabdi Express,HOW-ESPL,18:15,21:40,Daily,Passenger,All Days
12293,Howrah - Esplanade Rajdhani Express,HOW-ESPL,19:00,21:40,Daily,Passenger,All Days
12294,Howrah - Esplanade Container Freight,HOW-ESPL,00:15,03:25,Daily,Freight,All Days
