task_id,source_system,department,section_id,section_name,zone_code,defect_type,defect_description,criticality,reported_date,due_date,estimated_duration,location_km,recurrence_count,inspection_gap_days,import_source
SMMS-0105,SMMS,Signal & Telecom,BVI-ST,Borivali - Surat,WR,Point Machine Motor Overhaul,143B Point machine stroke timing exceeded 5.2s threshold on Borivali - Surat,high,2026-08-31,2026-09-10,105,44.7,2,45,data.gov.in
SMMS-0106,SMMS,Signal & Telecom,BVI-ST,Borivali - Surat,WR,Axle Counter Sensor Recalibration,Multi-section digital axle counter wheel sensor gain drifted on Borivali - Surat,critical,2026-09-14,2026-09-25,75,68.5,1,30,data.gov.in
TDMS-0107,TDMS,Traction Distribution,BVI-ST,Borivali - Surat,WR,Neutral Section Insulator Renewal,PTFE neutral section runner wear exceeds 3mm safety tolerance on Borivali - Surat,critical,2026-08-31,2026-09-09,90,63.5,0,45,data.gov.in
TDMS-0108,TDMS,Traction Distribution,BVI-ST,Borivali - Surat,WR,Cantilever Assembly Replacement,Galvanized steel cantilever bracket corrosion detected during trolley inspection on Borivali - Surat,high,2026-09-02,2026-09-10,105,200.0,1,60,data.gov.in
TDMS-0109,TDMS,Traction Distribution,BVI-ST,Borivali - Surat,WR,OHE Contact Wire Profile Measurement,Laser pantograph contact wire height and stagger recording on Borivali - Surat,high,2026-09-03,2026-09-18,90,43.0,0,45,data.gov.in
TMS-0110,TMS,Engineering,ST-BRC,Surat - Vadodara,WR,Thermit Weld Renewal,AT Weld defective Ultrasonic signal at Rail Joint needing crop & re-weld on Surat - Vadodara,critical,2026-09-15,2026-10-02,150,63.5,0,30,data.gov.in
TMS-0111,TMS,Engineering,ST-BRC,Surat - Vadodara,WR,Continuous Welded Rail Destressing,Thermal stress equalization on 60kg 90UTS welded rail for 160 kmph Vande Bharat on Surat - Vadodara,high,2026-08-30,2026-09-13,180,11.8,0,15,data.gov.in
TMS-0112,TMS,Engineering,ST-BRC,Surat - Vadodara,WR,Rail Flaw Ultrasonic Testing,USFD detected transverse fatigue crack in rail head on Surat - Vadodara,critical,2026-09-04,2026-09-28,90,76.7,0,60,data.gov.in
SMMS-0113,SMMS,Signal & Telecom,ST-BRC,Surat - Vadodara,WR,Level Crossing Boom Barrier Overhaul,Electric lifting barrier clutch mechanism alignment on Surat - Vadodara,medium,2026-09-08,2026-10-01,90,126.7,1,15,data.gov.in
SMMS-0114,SMMS,Signal & Telecom,ST-BRC,Surat - Vadodara,WR,Point Machine Motor Overhaul,143B Point machine stroke timing exceeded 5.2s threshold on Surat - Vadodara,high,2026-09-11,2026-10-06,105,27.8,0,30,data.gov.in
SMMS-0115,SMMS,Signal & Telecom,ST-BRC,Surat - Vadodara,WR,Point Machine Lock Bar Testing,Facing point lock tolerance check on junction interlocking on Surat - Vadodara,high,2026-09-12,2026-10-04,90,10.5,0,60,data.gov.in
TDMS-0116,TDMS,Traction Distribution,ST-BRC,Surat - Vadodara,WR,OHE Contact Wire Profile Measurement,Laser pantograph contact wire height and stagger recording on Surat - Vadodara,high,2026-09-08,2026-09-14,90,30.4,1,60,data.gov.in
TDMS-0117,TDMS,Traction Distribution,ST-BRC,Surat - Vadodara,WR,Insulator Jet Washing,Heavy pollution encrustation on porcelain insulators near industrial sidings on Surat - Vadodara,medium,2026-09-10,2026-09-23,90,101.1,0,60,data.gov.in
TDMS-0118,TDMS,Traction Distribution,ST-BRC,Surat - Vadodara,WR,Insulator Jet Washing,Heavy pollution encrustation on porcelain insulators near industrial sidings on Surat - Vadodara,medium,2026-08-31,2026-09-12,90,83.2,1,30,data.gov.in
TMS-0119,TMS,Engineering,BRC-ADI,Vadodara - Ahmedabad,WR,Level Crossing Paved Track Repair,Rubber pad renewal and check rail clearance at LC Gate on Vadodara - Ahmedabad,medium,2026-09-12,2026-09-26,135,59.3,1,60,data.gov.in
TMS-0120,TMS,Engineering,BRC-ADI,Vadodara - Ahmedabad,WR,Thermit Weld Renewal,AT Weld defective Ultrasonic signal at Rail Joint needing crop & re-weld on Vadodara - Ahmedabad,critical,2026-09-03,2026-09-17,150,69.6,1,60,data.gov.in
SMMS-0121,SMMS,Signal & Telecom,BRC-ADI,Vadodara - Ahmedabad,WR,Point Machine Motor Overhaul,143B Point machine stroke timing exceeded 5.2s threshold on Vadodara - Ahmedabad,high,2026-09-16,2026-10-04,105,73.0,1,15,data.gov.in
SMMS-0122,SMMS,Signal & Telecom,BRC-ADI,Vadodara - Ahmedabad,WR,Point Machine Motor Overhaul,143B Point machine stroke timing exceeded 5.2s threshold on Vadodara - Ahmedabad,high,2026-09-10,2026-10-03,105,58.5,0,45,data.gov.in
SMMS-0123,SMMS,Signal & Telecom,BRC-ADI,Vadodara - Ahmedabad,WR,OFC Splicing & Path Jointing,Fiber attenuation high on quad cable core near intermediate block hut on Vadodara - Ahmedabad,high,2026-09-12,2026-10-02,105,51.9,2,45,data.gov.in
TDMS-0124,TDMS,Traction Distribution,BRC-ADI,Vadodara - Ahmedabad,WR,Substation Transformer Testing,Traction power transformer dissolved gas analysis sampling on Vadodara - Ahmedabad,medium,2026-09-02,2026-09-09,90,47.1,2,45,data.gov.in
TDMS-0125,TDMS,Traction Distribution,BRC-ADI,Vadodara - Ahmedabad,WR,Dropper Replacement & Height Adjustment,Current carrying copper flexible dropper frayed near mast on Vadodara - Ahmedabad,medium,2026-09-14,2026-09-24,75,33.3,2,45,data.gov.in
TMS-0126,TMS,Engineering,HWH-BWN,Howrah - Barddhaman,ER,Rail Flaw Ultrasonic Testing,USFD detected transverse fatigue crack in rail head on Howrah - Barddhaman,critical,2026-09-16,2026-10-05,90,9.2,1,45,data.gov.in
TMS-0127,TMS,Engineering,HWH-BWN,Howrah - Barddhaman,ER,Thermit Weld Renewal,AT Weld defective Ultrasonic signal at Rail Joint needing crop & re-weld on Howrah - Barddhaman,critical,2026-09-05,2026-09-26,150,77.7,0,60,data.gov.in
TMS-0128,TMS,Engineering,HWH-BWN,Howrah - Barddhaman,ER,Deep Ballast Screening & Tamping,Ballast cleaning machine deployment to restore track elasticity on Howrah - Barddhaman,high,2026-09-16,2026-09-27,210,49.2,2,60,data.gov.in
SMMS-0129,SMMS,Signal & Telecom,HWH-BWN,Howrah - Barddhaman,ER,Point Machine Lock Bar Testing,Facing point lock tolerance check on junction interlocking on Howrah - Barddhaman,high,2026-09-09,2026-10-01,90,13.2,1,60,data.gov.in
SMMS-0130,SMMS,Signal & Telecom,HWH-BWN,Howrah - Barddhaman,ER,Level Crossing Boom Barrier Overhaul,Electric lifting barrier clutch mechanism alignment on Howrah - Barddhaman,medium,2026-09-14,2026-09-19,90,91.5,0,30,data.gov.in
TDMS-0131,TDMS,Traction Distribution,HWH-BWN,Howrah - Barddhaman,ER,Neutral Section Insulator Renewal,PTFE neutral section runner wear exceeds 3mm safety tolerance on Howrah - Barddhaman,critical,2026-08-31,2026-09-18,90,9.7,0,60,data.gov.in
TDMS-0132,TDMS,Traction Distribution,HWH-BWN,Howrah - Barddhaman,ER,Insulator Jet Washing,Heavy pollution encrustation on porcelain insulators near industrial sidings on Howrah - Barddhaman,medium,2026-09-13,2026-10-03,90,87.7,1,45,data.gov.in
TDMS-0133,TDMS,Traction Distribution,HWH-BWN,Howrah - Barddhaman,ER,Substation Transformer Testing,Traction power transformer dissolved gas analysis sampling on Howrah - Barddhaman,medium,2026-09-02,2026-09-22,90,23.7,0,60,data.gov.in
TMS-0134,TMS,Engineering,BWN-ASN,Barddhaman - Asansol,ER,Track Geometry Alignment Calibration,Track recording car flagged cross-level and twist exceeding tolerance on Barddhaman - Asansol,high,2026-09-01,2026-09-10,120,90.9,1,60,data.gov.in
TMS-0135,TMS,Engineering,BWN-ASN,Barddhaman - Asansol,ER,CMS Crossing Reconditioning,Trans-weld building up of battered nose on Cast Manganese Steel crossing on Barddhaman - Asansol,medium,2026-09-01,2026-09-14,135,86.3,1,45,data.gov.in
SMMS-0136,SMMS,Signal & Telecom,BWN-ASN,Barddhaman - Asansol,ER,Track Circuit Relay Replacement,QTA2 track relay contact resistance fluctuating under dampness on Barddhaman - Asansol,high,2026-09-03,2026-09-25,90,51.4,1,60,data.gov.in
SMMS-0137,SMMS,Signal & Telecom,BWN-ASN,Barddhaman - Asansol,ER,Level Crossing Boom Barrier Overhaul,Electric lifting barrier clutch mechanism alignment on Barddhaman - Asansol,medium,2026-09-07,2026-09-18,90,103.0,0,60,data.gov.in
SMMS-0138,SMMS,Signal & Telecom,BWN-ASN,Barddhaman - Asansol,ER,Point Machine Lock Bar Testing,Facing point lock tolerance check on junction interlocking on Barddhaman - Asansol,high,2026-09-04,2026-09-10,90,34.1,2,60,data.gov.in
TDMS-0139,TDMS,Traction Distribution,BWN-ASN,Barddhaman - Asansol,ER,Cantilever Assembly Replacement,Galvanized steel cantilever bracket corrosion detected during trolley inspection on Barddhaman - Asansol,high,2026-09-02,2026-09-08,105,14.1,1,15,data.gov.in
TDMS-0140,TDMS,Traction Distribution,BWN-ASN,Barddhaman - Asansol,ER,OHE Contact Wire Profile Measurement,Laser pantograph contact wire height and stagger recording on Barddhaman - Asansol,high,2026-09-14,2026-10-05,90,95.7,0,30,data.gov.in
TDMS-0141,TDMS,Traction Distribution,BWN-ASN,Barddhaman - Asansol,ER,Substation Transformer Testing,Traction power transformer dissolved gas analysis sampling on Barddhaman - Asansol,medium,2026-09-13,2026-09-20,90,49.8,1,45,data.gov.in
TMS-0142,TMS,Engineering,SDAH-RHA,Sealdah - Ranaghat,ER,Thermit Weld Renewal,AT Weld defective Ultrasonic signal at Rail Joint needing crop & re-weld on Sealdah - Ranaghat,critical,2026-09-07,2026-09-29,150,28.4,1,60,data.gov.in
TMS-0143,TMS,Engineering,SDAH-RHA,Sealdah - Ranaghat,ER,Rail Flaw Ultrasonic Testing,USFD detected transverse fatigue crack in rail head on Sealdah - Ranaghat,critical,2026-09-16,2026-10-10,90,5.9,1,30,data.gov.in
TMS-0144,TMS,Engineering,SDAH-RHA,Sealdah - Ranaghat,ER,Thermit Weld Renewal,AT Weld defective Ultrasonic signal at Rail Joint needing crop & re-weld on Sealdah - Ranaghat,critical,2026-09-04,2026-09-12,150,55.7,0,60,data.gov.in
SMMS-0145,SMMS,Signal & Telecom,SDAH-RHA,Sealdah - Ranaghat,ER,Axle Counter Sensor Recalibration,Multi-section digital axle counter wheel sensor gain drifted on Sealdah - Ranaghat,critical,2026-09-17,2026-09-23,75,24.4,0,45,data.gov.in
SMMS-0146,SMMS,Signal & Telecom,SDAH-RHA,Sealdah - Ranaghat,ER,Automatic Signaling Aspect Renewal,Signal LED cluster degradation on home signal aspect on Sealdah - Ranaghat,high,2026-09-06,2026-09-24,60,11.5,2,30,data.gov.in
TDMS-0147,TDMS,Traction Distribution,SDAH-RHA,Sealdah - Ranaghat,ER,Cantilever Assembly Replacement,Galvanized steel cantilever bracket corrosion detected during trolley inspection on Sealdah - Ranaghat,high,2026-09-15,2026-10-09,105,63.7,0,60,data.gov.in
TDMS-0148,TDMS,Traction Distribution,SDAH-RHA,Sealdah - Ranaghat,ER,Cantilever Assembly Replacement,Galvanized steel cantilever bracket corrosion detected during trolley inspection on Sealdah - Ranaghat,high,2026-09-10,2026-09-29,105,46.9,2,45,data.gov.in
TMS-0149,TMS,Engineering,DDU-PNBE,Pt. DDU - Patna,ECR,Bridge Bearing Inspection & Greasing,Girder seating rocker-roller bearing lubrication on Pt. DDU - Patna,medium,2026-09-08,2026-09-30,120,34.2,2,45,data.gov.in
TMS-0150,TMS,Engineering,DDU-PNBE,Pt. DDU - Patna,ECR,Track Geometry Alignment Calibration,Track recording car flagged cross-level and twist exceeding tolerance on Pt. DDU - Patna,high,2026-09-08,2026-10-03,120,203.0,1,60,data.gov.in
SMMS-0151,SMMS,Signal & Telecom,DDU-PNBE,Pt. DDU - Patna,ECR,Point Machine Lock Bar Testing,Facing point lock tolerance check on junction interlocking on Pt. DDU - Patna,high,2026-09-05,2026-09-25,90,23.4,2,45,data.gov.in
SMMS-0152,SMMS,Signal & Telecom,DDU-PNBE,Pt. DDU - Patna,ECR,Axle Counter Sensor Recalibration,Multi-section digital axle counter wheel sensor gain drifted on Pt. DDU - Patna,critical,2026-09-08,2026-09-13,75,206.4,2,45,data.gov.in
SMMS-0153,SMMS,Signal & Telecom,DDU-PNBE,Pt. DDU - Patna,ECR,OFC Splicing & Path Jointing,Fiber attenuation high on quad cable core near intermediate block hut on Pt. DDU - Patna,high,2026-08-30,2026-09-05,105,192.2,2,45,data.gov.in
TDMS-0154,TDMS,Traction Distribution,DDU-PNBE,Pt. DDU - Patna,ECR,Dropper Replacement & Height Adjustment,Current carrying copper flexible dropper frayed near mast on Pt. DDU - Patna,medium,2026-09-10,2026-10-05,75,40.9,1,30,data.gov.in
TDMS-0155,TDMS,Traction Distribution,DDU-PNBE,Pt. DDU - Patna,ECR,Insulator Jet Washing,Heavy pollution encrustation on porcelain insulators near industrial sidings on Pt. DDU - Patna,medium,2026-09-16,2026-09-30,90,166.6,0,45,data.gov.in
TMS-0156,TMS,Engineering,PNBE-MKA,Patna - Mokama,ECR,Thermit Weld Renewal,AT Weld defective Ultrasonic signal at Rail Joint needing crop & re-weld on Patna - Mokama,critical,2026-09-08,2026-09-23,150,66.0,0,30,data.gov.in
TMS-0157,TMS,Engineering,PNBE-MKA,Patna - Mokama,ECR,Continuous Welded Rail Destressing,Thermal stress equalization on 60kg 90UTS welded rail for 160 kmph Vande Bharat on Patna - Mokama,high,2026-08-31,2026-09-16,180,47.2,1,30,data.gov.in
SMMS-0158,SMMS,Signal & Telecom,PNBE-MKA,Patna - Mokama,ECR,Level Crossing Boom Barrier Overhaul,Electric lifting barrier clutch mechanism alignment on Patna - Mokama,medium,2026-09-08,2026-09-23,90,71.0,2,15,data.gov.in
SMMS-0159,SMMS,Signal & Telecom,PNBE-MKA,Patna - Mokama,ECR,Track Circuit Relay Replacement,QTA2 track relay contact resistance fluctuating under dampness on Patna - Mokama,high,2026-09-10,2026-09-27,90,85.2,1,15,data.gov.in
SMMS-0160,SMMS,Signal & Telecom,PNBE-MKA,Patna - Mokama,ECR,Electronic Interlocking Diagnostic,Dual redundant EI system power supply unit card replacement on Patna - Mokama,critical,2026-09-17,2026-09-30,90,47.7,2,45,data.gov.in
TDMS-0161,TDMS,Traction Distribution,PNBE-MKA,Patna - Mokama,ECR,Substation Transformer Testing,Traction power transformer dissolved gas analysis sampling on Patna - Mokama,medium,2026-09-06,2026-09-14,90,59.7,2,15,data.gov.in
TDMS-0162,TDMS,Traction Distribution,PNBE-MKA,Patna - Mokama,ECR,Dropper Replacement & Height Adjustment,Current carrying copper flexible dropper frayed near mast on Patna - Mokama,medium,2026-09-10,2026-10-05,75,6.5,2,45,data.gov.in
TDMS-0163,TDMS,Traction Distribution,PNBE-MKA,Patna - Mokama,ECR,Substation Transformer Testing,Traction power transformer dissolved gas analysis sampling on Patna - Mokama,medium,2026-09-14,2026-09-23,90,4.9,0,45,data.gov.in
TMS-0164,TMS,Engineering,DHN-GMO,Dhanbad - Gomoh,ECR,Thermit Weld Renewal,AT Weld defective Ultrasonic signal at Rail Joint needing crop & re-weld on Dhanbad - Gomoh,critical,2026-09-14,2026-09-26,150,25.8,0,60,data.gov.in
TMS-0165,TMS,Engineering,DHN-GMO,Dhanbad - Gomoh,ECR,Bridge Bearing Inspection & Greasing,Girder seating rocker-roller bearing lubrication on Dhanbad - Gomoh,medium,2026-09-06,2026-09-28,120,12.7,0,60,data.gov.in
TMS-0166,TMS,Engineering,DHN-GMO,Dhanbad - Gomoh,ECR,Thermit Weld Renewal,AT Weld defective Ultrasonic signal at Rail Joint needing crop & re-weld on Dhanbad - Gomoh,critical,2026-09-02,2026-09-26,150,12.4,1,15,data.gov.in
SMMS-0167,SMMS,Signal & Telecom,DHN-GMO,Dhanbad - Gomoh,ECR,Point Machine Lock Bar Testing,Facing point lock tolerance check on junction interlocking on Dhanbad - Gomoh,high,2026-09-03,2026-09-22,90,27.6,1,15,data.gov.in
SMMS-0168,SMMS,Signal & Telecom,DHN-GMO,Dhanbad - Gomoh,ECR,Automatic Signaling Aspect Renewal,Signal LED cluster degradation on home signal aspect on Dhanbad - Gomoh,high,2026-08-31,2026-09-25,60,11.0,2,45,data.gov.in
SMMS-0169,SMMS,Signal & Telecom,DHN-GMO,Dhanbad - Gomoh,ECR,Point Machine Lock Bar Testing,Facing point lock tolerance check on junction interlocking on Dhanbad - Gomoh,high,2026-09-14,2026-10-03,90,3.6,0,15,data.gov.in
TDMS-0170,TDMS,Traction Distribution,DHN-GMO,Dhanbad - Gomoh,ECR,Dropper Replacement & Height Adjustment,Current carrying copper flexible dropper frayed near mast on Dhanbad - Gomoh,medium,2026-09-10,2026-09-19,75,23.0,0,15,data.gov.in
TDMS-0171,TDMS,Traction Distribution,DHN-GMO,Dhanbad - Gomoh,ECR,25kV TSS Feeder CB Overhaul,Vacuum circuit breaker auxiliary contact overhaul during scheduled power block on Dhanbad - Gomoh,critical,2026-08-30,2026-09-10,120,23.8,0,45,data.gov.in
TMS-0172,TMS,Engineering,BBS-CTC,Bhubaneswar - Cuttack,ECoR,Track Geometry Alignment Calibration,Track recording car flagged cross-level and twist exceeding tolerance on Bhubaneswar - Cuttack,high,2026-09-17,2026-09-30,120,23.3,0,30,data.gov.in
TMS-0173,TMS,Engineering,BBS-CTC,Bhubaneswar - Cuttack,ECoR,Rail Flaw Ultrasonic Testing,USFD detected transverse fatigue crack in rail head on Bhubaneswar - Cuttack,critical,2026-09-09,2026-09-19,90,3.9,0,30,data.gov.in
SMMS-0174,SMMS,Signal & Telecom,BBS-CTC,Bhubaneswar - Cuttack,ECoR,Automatic Signaling Aspect Renewal,Signal LED cluster degradation on home signal aspect on Bhubaneswar - Cuttack,high,2026-09-10,2026-10-03,60,9.4,0,45,data.gov.in
SMMS-0175,SMMS,Signal & Telecom,BBS-CTC,Bhubaneswar - Cuttack,ECoR,OFC Splicing & Path Jointing,Fiber attenuation high on quad cable core near intermediate block hut on Bhubaneswar - Cuttack,high,2026-09-13,2026-10-01,105,14.7,0,60,data.gov.in
TDMS-0176,TDMS,Traction Distribution,BBS-CTC,Bhubaneswar - Cuttack,ECoR,Dropper Replacement & Height Adjustment,Current carrying copper flexible dropper frayed near mast on Bhubaneswar - Cuttack,medium,2026-09-01,2026-09-24,75,3.8,0,15,data.gov.in
TDMS-0177,TDMS,Traction Distribution,BBS-CTC,Bhubaneswar - Cuttack,ECoR,Catenary Wire Tension Regulation,Auto-tensioning device pulley weight travel check before winter on Bhubaneswar - Cuttack,high,2026-09-03,2026-09-28,120,26.1,0,60,data.gov.in
TDMS-0178,TDMS,Traction Distribution,BBS-CTC,Bhubaneswar - Cuttack,ECoR,Substation Transformer Testing,Traction power transformer dissolved gas analysis sampling on Bhubaneswar - Cuttack,medium,2026-09-04,2026-09-12,90,13.7,2,15,data.gov.in
TMS-0179,TMS,Engineering,CTC-PURI,Cuttack - Puri,ECoR,CMS Crossing Reconditioning,Trans-weld building up of battered nose on Cast Manganese Steel crossing on Cuttack - Puri,medium,2026-09-13,2026-09-20,135,12.2,1,60,data.gov.in
TMS-0180,TMS,Engineering,CTC-PURI,Cuttack - Puri,ECoR,Track Geometry Alignment Calibration,Track recording car flagged cross-level and twist exceeding tolerance on Cuttack - Puri,high,2026-09-01,2026-09-15,120,41.4,2,15,data.gov.in
SMMS-0181,SMMS,Signal & Telecom,CTC-PURI,Cuttack - Puri,ECoR,Point Machine Lock Bar Testing,Facing point lock tolerance check on junction interlocking on Cuttack - Puri,high,2026-09-04,2026-09-23,90,80.0,2,45,data.gov.in
SMMS-0182,SMMS,Signal & Telecom,CTC-PURI,Cuttack - Puri,ECoR,Level Crossing Boom Barrier Overhaul,Electric lifting barrier clutch mechanism alignment on Cuttack - Puri,medium,2026-09-05,2026-09-23,90,65.9,1,60,data.gov.in
TDMS-0183,TDMS,Traction Distribution,CTC-PURI,Cuttack - Puri,ECoR,Catenary Wire Tension Regulation,Auto-tensioning device pulley weight travel check before winter on Cuttack - Puri,high,2026-09-06,2026-09-15,120,62.1,2,15,data.gov.in
TDMS-0184,TDMS,Traction Distribution,CTC-PURI,Cuttack - Puri,ECoR,Insulator Jet Washing,Heavy pollution encrustation on porcelain insulators near industrial sidings on Cuttack - Puri,medium,2026-09-15,2026-09-22,90,39.4,1,30,data.gov.in
TDMS-0185,TDMS,Traction Distribution,CTC-PURI,Cuttack - Puri,ECoR,Neutral Section Insulator Renewal,PTFE neutral section runner wear exceeds 3mm safety tolerance on Cuttack - Puri,critical,2026-08-30,2026-09-21,90,51.0,0,60,data.gov.in
TMS-0186,TMS,Engineering,KUR-VZM,Khurda Road - Vizianagaram,ECoR,Deep Ballast Screening & Tamping,Ballast cleaning machine deployment to restore track elasticity on Khurda Road - Vizianagaram,high,2026-09-16,2026-09-30,210,218.3,1,15,data.gov.in
TMS-0187,TMS,Engineering,KUR-VZM,Khurda Road - Vizianagaram,ECoR,Track Geometry Alignment Calibration,Track recording car flagged cross-level and twist exceeding tolerance on Khurda Road - Vizianagaram,high,2026-09-01,2026-09-12,120,57.0,2,30,data.gov.in
TMS-0188,TMS,Engineering,KUR-VZM,Khurda Road - Vizianagaram,ECoR,Thermit Weld Renewal,AT Weld defective Ultrasonic signal at Rail Joint needing crop & re-weld on Khurda Road - Vizianagaram,critical,2026-09-06,2026-09-28,150,134.1,1,30,data.gov.in
SMMS-0189,SMMS,Signal & Telecom,KUR-VZM,Khurda Road - Vizianagaram,ECoR,OFC Splicing & Path Jointing,Fiber attenuation high on quad cable core near intermediate block hut on Khurda Road - Vizianagaram,high,2026-09-09,2026-09-14,105,66.3,1,45,data.gov.in
SMMS-0190,SMMS,Signal & Telecom,KUR-VZM,Khurda Road - Vizianagaram,ECoR,Automatic Signaling Aspect Renewal,Signal LED cluster degradation on home signal aspect on Khurda Road - Vizianagaram,high,2026-09-17,2026-09-27,60,315.9,2,15,data.gov.in
SMMS-0191,SMMS,Signal & Telecom,KUR-VZM,Khurda Road - Vizianagaram,ECoR,Track Circuit Relay Replacement,QTA2 track relay contact resistance fluctuating under dampness on Khurda Road - Vizianagaram,high,2026-09-17,2026-09-24,90,271.1,0,60,data.gov.in
TDMS-0192,TDMS,Traction Distribution,KUR-VZM,Khurda Road - Vizianagaram,ECoR,OHE Contact Wire Profile Measurement,Laser pantograph contact wire height and stagger recording on Khurda Road - Vizianagaram,high,2026-09-07,2026-09-17,90,135.0,1,15,data.gov.in
TDMS-0193,TDMS,Traction Distribution,KUR-VZM,Khurda Road - Vizianagaram,ECoR,Neutral Section Insulator Renewal,PTFE neutral section runner wear exceeds 3mm safety tolerance on Khurda Road - Vizianagaram,critical,2026-09-13,2026-09-23,90,274.1,0,15,data.gov.in
TDMS-0194,TDMS,Traction Distribution,KUR-VZM,Khurda Road - Vizianagaram,ECoR,Catenary Wire Tension Regulation,Auto-tensioning device pulley weight travel check before winter on Khurda Road - Vizianagaram,high,2026-09-03,2026-09-21,120,176.8,2,60,data.gov.in
TMS-0195,TMS,Engineering,HWH-KGP,Howrah - Kharagpur,SER,Sleeper Replacement & Fastening,Pre-stressed concrete sleeper renewal on high-density curve track on Howrah - Kharagpur,medium,2026-09-01,2026-09-09,135,40.0,0,45,data.gov.in
TMS-0196,TMS,Engineering,HWH-KGP,Howrah - Kharagpur,SER,Track Geometry Alignment Calibration,Track recording car flagged cross-level and twist exceeding tolerance on Howrah - Kharagpur,high,2026-09-02,2026-09-23,120,76.4,0,30,data.gov.in
TMS-0197,TMS,Engineering,HWH-KGP,Howrah - Kharagpur,SER,Deep Ballast Screening & Tamping,Ballast cleaning machine deployment to restore track elasticity on Howrah - Kharagpur,high,2026-09-16,2026-09-21,210,24.1,0,30,data.gov.in
SMMS-0198,SMMS,Signal & Telecom,HWH-KGP,Howrah - Kharagpur,SER,Axle Counter Sensor Recalibration,Multi-section digital axle counter wheel sensor gain drifted on Howrah - Kharagpur,critical,2026-09-07,2026-09-15,75,1.9,2,30,data.gov.in
SMMS-0199,SMMS,Signal & Telecom,HWH-KGP,Howrah - Kharagpur,SER,Track Circuit Relay Replacement,QTA2 track relay contact resistance fluctuating under dampness on Howrah - Kharagpur,high,2026-09-05,2026-09-27,90,80.5,1,15,data.gov.in
SMMS-0200,SMMS,Signal & Telecom,HWH-KGP,Howrah - Kharagpur,SER,Electronic Interlocking Diagnostic,Dual redundant EI system power supply unit card replacement on Howrah - Kharagpur,critical,2026-09-16,2026-10-04,90,3.1,0,45,data.gov.in
TDMS-0201,TDMS,Traction Distribution,HWH-KGP,Howrah - Kharagpur,SER,Substation Transformer Testing,Traction power transformer dissolved gas analysis sampling on Howrah - Kharagpur,medium,2026-09-04,2026-09-18,90,14.0,0,45,data.gov.in
TDMS-0202,TDMS,Traction Distribution,HWH-KGP,Howrah - Kharagpur,SER,Cantilever Assembly Replacement,Galvanized steel cantilever bracket corrosion detected during trolley inspection on Howrah - Kharagpur,high,2026-09-03,2026-09-19,105,11.0,0,30,data.gov.in
TDMS-0203,TDMS,Traction Distribution,HWH-KGP,Howrah - Kharagpur,SER,Substation Transformer Testing,Traction power transformer dissolved gas analysis sampling on Howrah - Kharagpur,medium,2026-08-30,2026-09-16,90,60.2,2,45,data.gov.in
TMS-0204,TMS,Engineering,KGP-TATA,Kharagpur - Tatanagar,SER,Sleeper Replacement & Fastening,Pre-stressed concrete sleeper renewal on high-density curve track on Kharagpur - Tatanagar,medium,2026-09-07,2026-09-17,135,11.1,0,30,data.gov.in
TMS-0205,TMS,Engineering,KGP-TATA,Kharagpur - Tatanagar,SER,CMS Crossing Reconditioning,Trans-weld building up of battered nose on Cast Manganese Steel crossing on Kharagpur - Tatanagar,medium,2026-09-06,2026-10-01,135,108.6,0,15,data.gov.in
TMS-0206,TMS,Engineering,KGP-TATA,Kharagpur - Tatanagar,SER,Continuous Welded Rail Destressing,Thermal stress equalization on 60kg 90UTS welded rail for 160 kmph Vande Bharat on Kharagpur - Tatanagar,high,2026-09-09,2026-09-20,180,23.9,0,15,data.gov.in
SMMS-0207,SMMS,Signal & Telecom,KGP-TATA,Kharagpur - Tatanagar,SER,Level Crossing Boom Barrier Overhaul,Electric lifting barrier clutch mechanism alignment on Kharagpur - Tatanagar,medium,2026-09-03,2026-09-26,90,101.3,2,45,data.gov.in
SMMS-0208,SMMS,Signal & Telecom,KGP-TATA,Kharagpur - Tatanagar,SER,Automatic Signaling Aspect Renewal,Signal LED cluster degradation on home signal aspect on Kharagpur - Tatanagar,high,2026-09-13,2026-10-02,60,10.0,2,45,data.gov.in
TDMS-0209,TDMS,Traction Distribution,KGP-TATA,Kharagpur - Tatanagar,SER,Neutral Section Insulator Renewal,PTFE neutral section runner wear exceeds 3mm safety tolerance on Kharagpur - Tatanagar,critical,2026-09-06,2026-09-27,90,10.8,2,60,data.gov.in
TDMS-0210,TDMS,Traction Distribution,KGP-TATA,Kharagpur - Tatanagar,SER,Neutral Section Insulator Renewal,PTFE neutral section runner wear exceeds 3mm safety tolerance on Kharagpur - Tatanagar,critical,2026-09-16,2026-10-02,90,110.8,0,15,data.gov.in
TDMS-0211,TDMS,Traction Distribution,KGP-TATA,Kharagpur - Tatanagar,SER,Substation Transformer Testing,Traction power transformer dissolved gas analysis sampling on Kharagpur - Tatanagar,medium,2026-09-03,2026-09-26,90,74.2,0,60,data.gov.in
TMS-0212,TMS,Engineering,TATA-ROU,Tatanagar - Rourkela,SER,CMS Crossing Reconditioning,Trans-weld building up of battered nose on Cast Manganese Steel crossing on Tatanagar - Rourkela,medium,2026-09-02,2026-09-23,135,25.3,0,60,data.gov.in
